mot,nb_phrases,sim_mean,sim_std,sim_min,sim_max,nb_sens_wikt
glace,481,0.7142,0.2546,-0.174,1.0,16
volant,450,0.5229,0.2297,-0.3933,1.0,15
pointe,393,0.5616,0.1667,-0.2994,1.0,31
souris,266,0.6754,0.1546,-0.1605,0.9821,20
plante,405,0.8091,0.1407,-0.2134,0.9993,11
mousse,104,0.6884,0.1301,0.0696,0.9834,17
carte,369,0.6869,0.1301,-0.1461,1.0,17
vague,460,0.6973,0.1295,-0.0369,1.0,21
chef,455,0.661,0.1261,-0.0283,0.9993,20
langue,403,0.7094,0.1241,-0.0143,1.0,11
pièce,474,0.7668,0.1161,0.0345,0.9943,66
hélicoptère,164,0.8037,0.1146,-0.0153,0.9983,3
grue,77,0.8082,0.1141,0.1685,0.9698,9
bureau,356,0.7284,0.1034,0.1365,1.0,15
photosynthèse,46,0.8813,0.0563,0.5453,0.9996,1
chlorophylle,14,0.8803,0.0405,0.7585,0.9503,7
appendicite,10,0.9234,0.0276,0.8503,0.9675,1
